START PCMV Test
FW>
Return to idle mode
W:fua=0,lba=(0x01499248,0x18)
W:fua=0,lba=(0x006f1280,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499258,0x18)
W:fua=0,lba=(0x006f1300,0x10)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499268,0x18)
W:fua=0,lba=(0x006f1288,0x8)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x01499280,0x40)
W:fua=0,lba=(0x01499278,0x18)
W:fua=0,lba=(0x006f1308,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499288,0x18)
W:fua=0,lba=(0x006f1288,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499298,0x18)
W:fua=0,lba=(0x006f1308,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x014992a8,0x18)
W:fua=0,lba=(0x006f1288,0x8)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x014992c0,0x40)
W:fua=0,lba=(0x014992b8,0x18)
W:fua=0,lba=(0x006f1308,0x10)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x00d6fe1a,0x40)
R:fua=0,lba=(0x00d6fe12,0x8)
R:fua=0,lba=(0x00f3ba72,0x40)
R:fua=0,lba=(0x00f3ba42,0x30)
R:fua=0,lba=(0x00fb3472,0x28)
R:fua=0,lba=(0x0072cea8,0x8)
R:fua=0,lba=(0x00f65120,0x5)
R:fua=0,lba=(0x00f65122,0x3)
R:fua=0,lba=(0x0072c210,0x8)
R:fua=0,lba=(0x011405e8,0x40)
R:fua=0,lba=(0x0072c200,0x8)
R:fua=0,lba=(0x00e59d22,0x40)
R:fua=0,lba=(0x00e59d71,0x1)
R:fua=0,lba=(0x00e59158,0x8)
R:fua=0,lba=(0x00ff5fb8,0x49)
R:fua=0,lba=(0x00e59d72,0x3)
R:fua=0,lba=(0x00e5915a,0x40)
R:fua=0,lba=(0x00f72ff2,0x40)
R:fua=0,lba=(0x00e59d63,0xe)
R:fua=0,lba=(0x00f7303a,0x3d)
R:fua=0,lba=(0x00e5953c,0x20)
R:fua=0,lba=(0x00e5955c,0xe)
R:fua=0,lba=(0x0072cf88,0x8)
R:fua=0,lba=(0x00f7309c,0x1)
R:fua=0,lba=(0x00e59cda,0x40)
R:fua=0,lba=(0x00f7309d,0x2)
R:fua=0,lba=(0x00e594da,0x3d)
R:fua=0,lba=(0x00e3669a,0x40)
R:fua=0,lba=(0x00f4738a,0x10)
R:fua=0,lba=(0x00f73032,0x8)
R:fua=0,lba=(0x00e59517,0xc)
R:fua=0,lba=(0x00726f48,0x8)
R:fua=0,lba=(0x00f73090,0xc)
R:fua=0,lba=(0x00e59538,0x1)
R:fua=0,lba=(0x00726fe8,0x8)
R:fua=0,lba=(0x00e59539,0x3)
R:fua=0,lba=(0x00f72e7a,0x40)
R:fua=0,lba=(0x0012d0a8,0x28)
R:fua=0,lba=(0x01464878,0x40)
R:fua=0,lba=(0x00e59523,0x15)
R:fua=0,lba=(0x00f7308f,0x1)
R:fua=0,lba=(0x00dadc48,0x3f)
R:fua=0,lba=(0x00f72da2,0x38)
R:fua=0,lba=(0x0072c328,0x8)
R:fua=0,lba=(0x0072c1c0,0x8)
R:fua=0,lba=(0x00b80d08,0x3e)
R:fua=0,lba=(0x0115d270,0x80)
R:fua=0,lba=(0x00715dc0,0x8)
R:fua=0,lba=(0x00715fb0,0x8)
R:fua=0,lba=(0x00e54490,0x17)
R:fua=0,lba=(0x014648f0,0x40)
R:fua=0,lba=(0x00e7078a,0x3e)
R:fua=0,lba=(0x00e544a6,0x1)
